voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award
Ric Bucher,Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","George, Paul (LAC)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Lowry, Kyle (TOR)",2020,All-NBA
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Beal, Bradley (WAS)","Butler, Jimmy (MIA)",2020,All-NBA
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (OKC)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Young, Trae (ATL)",2020,All-NBA
Sam Amick,The Athletic,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2020,All-NBA
Seerat Sohi,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Paul, Chris (OKC)","Harden, James (HOU)",2020,All-NBA
Sekou Smith,NBA.com,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Harden, James (HOU)","Paul, Chris (OKC)","Middleton, Khris (MIL)","Adebayo, Bam (MIA)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Butler, Jimmy (MIA)",2020,All-NBA
Shams Charania,The Athletic/Stadium,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Paul, Chris (OKC)",2020,All-NBA
Shaun Powell,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (OKC)",2020,All-NBA
Simone Sandri,La Gazzetta Dello Sport,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Simmons, Ben (PHI)",2020,All-NBA
Stephen A. Smith,ESPN,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Adebayo, Bam (MIA)","Paul, Chris (OKC)","Westbrook, Russell (HOU)",2020,All-NBA
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Paul, Chris (OKC)","Harden, James (HOU)","Middleton, Khris (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Lowry, Kyle (TOR)","Simmons, Ben (PHI)",2020,All-NBA
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Beal, Bradley (WAS)","Tatum, Jayson (BOS)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Simmons, Ben (PHI)","Westbrook, Russell (HOU)",2020,All-NBA
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Embiid, Joel (PHI)","Harden, James (HOU)","Paul, Chris (OKC)","Siakam, Pascal (TOR)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Lowry, Kyle (TOR)","Simmons, Ben (PHI)",2020,All-NBA
Tim Reynolds,Associated Press,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Westbrook, Russell (HOU)","Lowry, Kyle (TOR)","Embiid, Joel (PHI)","Siakam, Pascal (TOR)","Adebayo, Bam (MIA)","Tatum, Jayson (BOS)","Beal, Bradley (WAS)",2020,All-NBA
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Middleton, Khris (MIL)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Beal, Bradley (WAS)",2020,All-NBA
Will Guillory,The Athletic,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Harden, James (HOU)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Embiid, Joel (PHI)","Westbrook, Russell (HOU)","Paul, Chris (OKC)",2020,All-NBA
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Butler, Jimmy (MIA)","Middleton, Khris (MIL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Westbrook, Russell (HOU)",2020,All-NBA
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Harden, James (HOU)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Davis, Anthony (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Westbrook, Russell (HOU)","Paul, Chris (OKC)",2020,All-NBA
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Paul, Chris (OKC)","Lillard, Damian (POR)","Siakam, Pascal (TOR)","Middleton, Khris (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)",2020,All-NBA
A. Sherrod Blakely,NBC Sports Boston,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Simmons, Ben (PHI)","Towns, Karl-Anthony (MIN)","Lillard, Damian (POR)","Mitchell, Donovan (UTA)",2019,All-NBA
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","DeRozan, DeMar (SAS)",2019,All-NBA
Andre Voigt,DAZN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Siakam, Pascal (TOR)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Simmons, Ben (PHI)",2019,All-NBA
Andrew Sharp,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (OKC)",2019,All-NBA
Bill Oram,The Athletic,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Conley, Mike (MEM)",2019,All-NBA
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Mitchell, Donovan (UTA)",2019,All-NBA
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Irving, Kyrie (BOS)","Simmons, Ben (PHI)",2019,All-NBA
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Beal, Bradley (WAS)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Brian Windhorst,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2019,All-NBA
Casey Stern,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","Griffin, Blake (DET)","James, LeBron (LAL)","Davis, Anthony (NOP)","Beal, Bradley (WAS)","Irving, Kyrie (BOS)",2019,All-NBA
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Leonard, Kawhi (TOR)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)",2019,All-NBA
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Beal, Bradley (WAS)",2019,All-NBA
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Dave Campbell,Associated Press,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Griffin, Blake (DET)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Leonard, Kawhi (TOR)","Gallinari, Danilo (LAC)","Towns, Karl-Anthony (MIN)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)",2019,All-NBA
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Williams, Lou (LAC)",2019,All-NBA
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Thompson, Klay (GSW)",2019,All-NBA
David Cobb,Memphis Commercial Appeal,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Jokic, Nikola (DEN)","Conley, Mike (MEM)","Walker, Kemba (CHA)",2019,All-NBA
Dennis Scott,Turner Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","James, LeBron (LAL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Turner, Myles (IND)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2019,All-NBA
Diego Martinez,Reforma,"Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","George, Paul (OKC)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Lowry, Kyle (TOR)",2019,All-NBA
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2019,All-NBA
Doug Smith,Toronto Star,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Griffin, Blake (DET)","George, Paul (OKC)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Leonard, Kawhi (TOR)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Irving, Kyrie (BOS)","Booker, Devin (PHX)",2019,All-NBA
Eric Woodyard,Deseret News,"Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","George, Paul (OKC)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Irving, Kyrie (BOS)",2019,All-NBA
Erik Horne,The Oklahoman,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Walker, Kemba (CHA)","James, LeBron (LAL)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2019,All-NBA
Flavio Tranquillo,Sky Italia,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Gallinari, Danilo (LAC)","Towns, Karl-Anthony (MIN)","Walker, Kemba (CHA)","Westbrook, Russell (OKC)",2019,All-NBA
Frank Isola,Sirius Radio/The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Thompson, Klay (GSW)","Griffin, Blake (DET)","Leonard, Kawhi (TOR)","Towns, Karl-Anthony (MIN)","Westbrook, Russell (OKC)","Russell, D'Angelo (BKN)",2019,All-NBA
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2019,All-NBA
Gary Washburn,Boston Globe,"Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Walker, Kemba (CHA)","Griffin, Blake (DET)","James, LeBron (LAL)","Vucevic, Nikola (ORL)","Beal, Bradley (WAS)","Irving, Kyrie (BOS)",2019,All-NBA
Greg Anthony,Turner Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","George, Paul (OKC)","Aldridge, LaMarcus (SAS)","Towns, Karl-Anthony (MIN)","Walker, Kemba (CHA)","Westbrook, Russell (OKC)",2019,All-NBA
Guillermo Schutz,Televisa,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)",2019,All-NBA
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Beal, Bradley (WAS)",2019,All-NBA
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2019,All-NBA
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","James, LeBron (LAL)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)",2019,All-NBA
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2019,All-NBA
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)",Incomplete Ballot,"Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Thompson, Klay (GSW)",2019,All-NBA
Jeff McDonald,San Antonio Express-News,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)",2019,All-NBA
